hostname,disposition,sy_snum
EPIC 203560204,CANDIDATE,1
EPIC 203581469,FALSE POSITIVE,1
EPIC 203616858,CANDIDATE,1
EPIC 203623230,CANDIDATE,1
EPIC 203633064,CANDIDATE,1
EPIC 203692610,FALSE POSITIVE,1
EPIC 203710387,FALSE POSITIVE,1
EPIC 203753577,CANDIDATE,1
K2-24,CANDIDATE,1
EPIC 203784668,CANDIDATE,1
EPIC 203823381,FALSE POSITIVE,1
EPIC 203849738,FALSE POSITIVE,1
EPIC 203867512,CANDIDATE,1
EPIC 203868608,FALSE POSITIVE,1
EPIC 203914123,CANDIDATE,1
EPIC 203925865,CANDIDATE,1
EPIC 203929178,CANDIDATE,1
EPIC 203942067,CANDIDATE,1
EPIC 204043888,FALSE POSITIVE,1
EPIC 204057095,CANDIDATE,1
EPIC 204124270,CANDIDATE,1
EPIC 204128016,CANDIDATE,1
EPIC 204143627,FALSE POSITIVE,1
HIP 80474,FALSE POSITIVE,1
EPIC 204197636,CANDIDATE,1
EPIC 204276894,CANDIDATE,1
EPIC 204308061,CANDIDATE,1
EPIC 204312847,CANDIDATE,1
EPIC 204322265,CANDIDATE,1
EPIC 204346718,CANDIDATE,1
EPIC 204364515,FALSE POSITIVE,1
EPIC 204432860,FALSE POSITIVE,1
EPIC 204489514,CANDIDATE,1
HIP 78977,FALSE POSITIVE,1
EPIC 204529573,CANDIDATE,1
EPIC 204546592,CANDIDATE,1
EPIC 204576757,CANDIDATE,1
EPIC 204579445,CANDIDATE,1
EPIC 204634789,CANDIDATE,1
EPIC 204649811,CANDIDATE,1
EPIC 204658292,CANDIDATE,1
EPIC 204676499,CANDIDATE,1
K2-365,CANDIDATE,1
HIP 78168,FALSE POSITIVE,1
EPIC 204763194,CANDIDATE,1
EPIC 204791347,CANDIDATE,1
EPIC 204873331,FALSE POSITIVE,1
EPIC 204880394,CANDIDATE,1
EPIC 204882444,FALSE POSITIVE,1
EPIC 204884005,CANDIDATE,1
EPIC 204888276,CANDIDATE,1
EPIC 204914585,CANDIDATE,1
EPIC 204990932,CANDIDATE,1
EPIC 204991696,CANDIDATE,1
EPIC 205029914,CANDIDATE,1
EPIC 205040048,CANDIDATE,1
