hostname,disposition,sy_snum
EPIC 212120773,CANDIDATE,1
EPIC 212133517,CANDIDATE,1
EPIC 212136123,CANDIDATE,1
EPIC 212138198,CANDIDATE,1
EPIC 212141021,CANDIDATE,1
EPIC 212150006,CANDIDATE,1
EPIC 212152341,CANDIDATE,1
EPIC 212154158,FALSE POSITIVE,1
EPIC 212159514,CANDIDATE,1
EPIC 212159623,CANDIDATE,1
EPIC 212163353,FALSE POSITIVE,1
EPIC 212171851,FALSE POSITIVE,1
EPIC 212175087,FALSE POSITIVE,1
HIP 42403,CANDIDATE,1
EPIC 212181307,FALSE POSITIVE,1
EPIC 212181460,FALSE POSITIVE,1
EPIC 212182233,FALSE POSITIVE,1
EPIC 212194007,CANDIDATE,1
EPIC 212207194,FALSE POSITIVE,1
EPIC 212207368,CANDIDATE,1
EPIC 212208163,FALSE POSITIVE,1
EPIC 212210390,FALSE POSITIVE,1
EPIC 212214592,FALSE POSITIVE,1
EPIC 212219881,CANDIDATE,1
EPIC 212221986,FALSE POSITIVE,1
EPIC 212223307,CANDIDATE,1
EPIC 212225413,FALSE POSITIVE,1
EPIC 212225806,FALSE POSITIVE,1
EPIC 212225986,FALSE POSITIVE,1
EPIC 212227092,CANDIDATE,1
EPIC 212228567,CANDIDATE,1
EPIC 212228588,FALSE POSITIVE,1
EPIC 212228994,CANDIDATE,1
EPIC 212270970,CANDIDATE,1
EPIC 212278644,CANDIDATE,1
EPIC 212283840,CANDIDATE,1
EPIC 212294561,CANDIDATE,1
EPIC 212297394,CONFIRMED,1
EPIC 212301649,CANDIDATE,1
EPIC 212303338,CANDIDATE,1
EPIC 212304395,CANDIDATE,1
EPIC 212310244,CANDIDATE,1
EPIC 212311834,CANDIDATE,1
EPIC 212315941,CANDIDATE,1
EPIC 212321305,CANDIDATE,1
EPIC 212328538,CANDIDATE,1
EPIC 212329106,CANDIDATE,1
EPIC 212330265,CANDIDATE,1
EPIC 212346723,CANDIDATE,1
EPIC 212351026,CANDIDATE,1
EPIC 212351405,CANDIDATE,1
EPIC 212351868,CANDIDATE,1
EPIC 212362217,CANDIDATE,1
EPIC 212370106,CANDIDATE,1
EPIC 212380207,CANDIDATE,1
EPIC 212393193,CANDIDATE,1
EPIC 212396050,CANDIDATE,1
EPIC 212398508,CANDIDATE,1
EPIC 212406474,CANDIDATE,1
EPIC 212409658,CANDIDATE,1
EPIC 212421673,CANDIDATE,1
EPIC 212421749,CANDIDATE,1
EPIC 212422536,CANDIDATE,1
EPIC 212424622,CONFIRMED,1
EPIC 212425103,CANDIDATE,1
EPIC 212428509,CANDIDATE,1
EPIC 212432685,CANDIDATE,1
EPIC 212434019,CANDIDATE,1
EPIC 212435047,CANDIDATE,1
EPIC 212443457,CANDIDATE,1
EPIC 212443973,CANDIDATE,1
EPIC 212451091,CANDIDATE,1
EPIC 212454160,CANDIDATE,1
EPIC 212454422,CANDIDATE,1
EPIC 212464382,CANDIDATE,1
EPIC 212495601,CANDIDATE,1
EPIC 212497862,CANDIDATE,1
EPIC 212499835,CANDIDATE,1
EPIC 212499991,CONFIRMED,1
EPIC 212524671,CANDIDATE,1
EPIC 212525174,CANDIDATE,1
EPIC 212525618,CANDIDATE,1
EPIC 212529560,CANDIDATE,1
EPIC 212534729,CANDIDATE,1
EPIC 212535959,CANDIDATE,1
EPIC 212540985,CANDIDATE,1
K2-192,CANDIDATE,1
EPIC 212560683,CANDIDATE,1
EPIC 212562715,CANDIDATE,1
EPIC 212563850,CANDIDATE,1
EPIC 212569876,CANDIDATE,1
EPIC 212570977,CANDIDATE,1
EPIC 212572439,CANDIDATE,1
EPIC 212572452,FALSE POSITIVE,1
EPIC 212577658,CANDIDATE,1
EPIC 212579164,CANDIDATE,1
EPIC 212579424,CANDIDATE,1
EPIC 212585579,CANDIDATE,1
EPIC 212586030,CANDIDATE,1
EPIC 212587672,CONFIRMED,1
EPIC 212590677,CANDIDATE,1
EPIC 212592101,CANDIDATE,1
EPIC 212601505,CANDIDATE,1
EPIC 212616320,CANDIDATE,1
EPIC 212621075,CANDIDATE,1
EPIC 212622766,CANDIDATE,1
EPIC 212624936,CONFIRMED,1
EPIC 212628098,FALSE POSITIVE,1
EPIC 212634172,CANDIDATE,1
EPIC 212636654,CANDIDATE,1
EPIC 212639319,CANDIDATE,1
EPIC 212645891,CANDIDATE,1
EPIC 212646483,CANDIDATE,1
EPIC 212648083,CANDIDATE,1
EPIC 212652418,CANDIDATE,1
EPIC 212661144,CANDIDATE,1
EPIC 212679181,CANDIDATE,1
EPIC 212679798,FALSE POSITIVE,1
EPIC 212685467,CANDIDATE,1
EPIC 212688722,CANDIDATE,1
EPIC 212688920,CANDIDATE,1
EPIC 212690867,CANDIDATE,1
EPIC 212691727,CANDIDATE,1
EPIC 212703473,CANDIDATE,1
EPIC 212705192,CANDIDATE,1
EPIC 212712473,CANDIDATE,1
EPIC 212730483,CANDIDATE,1
EPIC 212735133,CANDIDATE,1
EPIC 212737443,CONFIRMED,1
EPIC 212743333,CANDIDATE,1
EPIC 212746655,CANDIDATE,1
EPIC 212753343,CANDIDATE,1
EPIC 212757601,CANDIDATE,1
EPIC 212771557,CANDIDATE,1
EPIC 212772113,CANDIDATE,1
EPIC 212772313,CANDIDATE,1
EPIC 212773272,FALSE POSITIVE,1
EPIC 212773309,FALSE POSITIVE,1
EPIC 212783902,CANDIDATE,1
EPIC 212796016,CANDIDATE,1
EPIC 212797028,CANDIDATE,1
EPIC 212813907,CANDIDATE,1
EPIC 212817071,CANDIDATE,1
EPIC 212821706,CANDIDATE,1
EPIC 212830737,CANDIDATE,1
EPIC 212833814,CANDIDATE,1
EPIC 212839127,CANDIDATE,1
EPIC 212844216,CANDIDATE,1
EPIC 212865617,CANDIDATE,1
EPIC 212870185,CANDIDATE,1
EPIC 212883391,CANDIDATE,1
EPIC 213123443,CANDIDATE,1
EPIC 213408445,CANDIDATE,1
EPIC 213462890,CANDIDATE,1
EPIC 213546283,CANDIDATE,1
EPIC 213703832,CANDIDATE,1
EPIC 213722591,CANDIDATE,1
EPIC 213748480,CANDIDATE,1
EPIC 213817056,CANDIDATE,1
EPIC 213840781,CANDIDATE,1
EPIC 213919434,CANDIDATE,1
EPIC 213919915,CANDIDATE,1
EPIC 213920015,CANDIDATE,1
EPIC 213951550,FALSE POSITIVE,1
K2-379,CANDIDATE,1
EPIC 214234110,CANDIDATE,1
EPIC 214254518,CANDIDATE,1
EPIC 214512594,CANDIDATE,1
EPIC 214522613,CANDIDATE,1
EPIC 214611894,CANDIDATE,1
EPIC 214630761,CANDIDATE,1
EPIC 214741009,CANDIDATE,1
EPIC 214888033,CANDIDATE,1
EPIC 214912104,CANDIDATE,1
EPIC 214984368,CANDIDATE,1
EPIC 215101303,CANDIDATE,1
EPIC 215125108,CANDIDATE,1
EPIC 215171927,CANDIDATE,1
EPIC 215175768,CANDIDATE,1
EPIC 215234145,CANDIDATE,1
EPIC 215353525,CANDIDATE,1
EPIC 215358983,CANDIDATE,1
EPIC 215364084,CANDIDATE,1
EPIC 215381481,CANDIDATE,1
EPIC 215389654,CANDIDATE,1
EPIC 215502661,CANDIDATE,1
EPIC 215525178,CANDIDATE,1
EPIC 215714765,CANDIDATE,1
EPIC 215717520,CANDIDATE,1
EPIC 215739094,CANDIDATE,1
EPIC 215816368,CANDIDATE,1
EPIC 215854715,CANDIDATE,1
EPIC 215894766,CANDIDATE,1
EPIC 215938010,CANDIDATE,1
EPIC 216050437,CANDIDATE,1
EPIC 216111905,CANDIDATE,1
EPIC 216114172,CANDIDATE,1
EPIC 216166748,CANDIDATE,1
EPIC 216212516,CANDIDATE,1
EPIC 216231580,CANDIDATE,1
EPIC 216334329,CANDIDATE,1
EPIC 216357880,CANDIDATE,1
EPIC 216363472,CANDIDATE,1
EPIC 216387101,CANDIDATE,1
EPIC 216876207,CANDIDATE,1
EPIC 216892056,CANDIDATE,1
EPIC 217084873,CANDIDATE,1
EPIC 217149884,CANDIDATE,1
EPIC 217231249,CANDIDATE,1
EPIC 217393088,CANDIDATE,1
EPIC 217855533,CANDIDATE,1
EPIC 218170789,CANDIDATE,1
EPIC 218195416,CANDIDATE,1
EPIC 218300572,CANDIDATE,1
EPIC 218304292,CANDIDATE,1
EPIC 218332621,CANDIDATE,1
EPIC 218621322,CANDIDATE,1
EPIC 218695436,CANDIDATE,1
EPIC 218701083,CANDIDATE,1
EPIC 218709665,CANDIDATE,1
EPIC 218711655,CANDIDATE,1
EPIC 218874453,CANDIDATE,1
EPIC 218901589,CANDIDATE,1
EPIC 218952024,CANDIDATE,1
EPIC 218973982,CANDIDATE,1
EPIC 219111248,CANDIDATE,1
EPIC 219114906,CANDIDATE,1
EPIC 219256848,CANDIDATE,1
EPIC 219266595,CANDIDATE,1
EPIC 219388192,CANDIDATE,1
EPIC 219420915,CANDIDATE,1
EPIC 219480273,CANDIDATE,1
EPIC 219610716,CANDIDATE,1
EPIC 219747794,CANDIDATE,1
EPIC 219760360,CANDIDATE,1
EPIC 220168663,CANDIDATE,1
K2-203,CANDIDATE,1
EPIC 220173278,CANDIDATE,1
EPIC 220187552,CANDIDATE,1
EPIC 220192485,CANDIDATE,1
EPIC 220198551,CANDIDATE,1
EPIC 220201207,CANDIDATE,1
EPIC 220204960,CANDIDATE,1
EPIC 220207765,CANDIDATE,1
EPIC 220209578,CANDIDATE,1
EPIC 220228500,CANDIDATE,1
EPIC 220245303,CANDIDATE,1
K2-211,CANDIDATE,1
EPIC 220258394,CANDIDATE,1
EPIC 220260084,CANDIDATE,1
EPIC 220263105,CANDIDATE,1
EPIC 220267210,CANDIDATE,1
EPIC 220275625,CANDIDATE,1
EPIC 220280237,CANDIDATE,1
EPIC 220282718,CANDIDATE,1
EPIC 220287611,CANDIDATE,1
EPIC 220288191,CANDIDATE,1
EPIC 220288594,CANDIDATE,1
EPIC 220290988,CANDIDATE,1
EPIC 220292715,CANDIDATE,1
EPIC 220294712,CANDIDATE,1
EPIC 220299658,CANDIDATE,1
EPIC 220309058,CANDIDATE,1
EPIC 220315508,CANDIDATE,1
EPIC 220316844,CANDIDATE,1
EPIC 220317172,CANDIDATE,1
EPIC 220322327,CANDIDATE,1
EPIC 220336320,CANDIDATE,1
EPIC 220342163,CANDIDATE,1
EPIC 220356827,FALSE POSITIVE,1
EPIC 220393791,CANDIDATE,1
EPIC 220395416,CANDIDATE,1
EPIC 220397060,CANDIDATE,1
EPIC 220400100,CANDIDATE,1
EPIC 220400525,CANDIDATE,1
EPIC 220401029,CANDIDATE,1
EPIC 220410754,CANDIDATE,1
EPIC 220416518,CANDIDATE,1
EPIC 220431824,CANDIDATE,1
EPIC 220434612,CANDIDATE,1
EPIC 220436189,CANDIDATE,1
EPIC 220436208,CANDIDATE,1
EPIC 220436943,CANDIDATE,1
EPIC 220443340,CANDIDATE,1
EPIC 220448185,CANDIDATE,1
EPIC 220466136,CANDIDATE,1
EPIC 220470563,CANDIDATE,1
EPIC 220471100,FALSE POSITIVE,1
EPIC 220477223,CANDIDATE,1
EPIC 220482322,CANDIDATE,1
EPIC 220492298,CONFIRMED,1
EPIC 220492492,CANDIDATE,1
EPIC 220526079,CANDIDATE,1
EPIC 220527374,CANDIDATE,1
HIP 4601,CANDIDATE,1
K2-282,CONFIRMED,1
EPIC 220555384,CANDIDATE,1
EPIC 220556827,CANDIDATE,1
EPIC 220562610,CANDIDATE,1
EPIC 220565337,CANDIDATE,1
EPIC 220565349,CANDIDATE,1
EPIC 220571481,CANDIDATE,1
EPIC 220573228,CANDIDATE,1
EPIC 220579319,CANDIDATE,1
EPIC 220598367,CANDIDATE,1
EPIC 220605820,CANDIDATE,1
EPIC 220606084,CANDIDATE,1
EPIC 220616148,CANDIDATE,1
EPIC 220631484,CANDIDATE,1
EPIC 220639177,CANDIDATE,1
EPIC 220643470,CANDIDATE,1
EPIC 220644522,CANDIDATE,1
EPIC 220648214,CANDIDATE,1
EPIC 220650843,CANDIDATE,1
EPIC 220657558,CANDIDATE,1
EPIC 220663602,CANDIDATE,1
EPIC 220666631,CANDIDATE,1
EPIC 220674823,CONFIRMED,1
EPIC 220679255,CANDIDATE,1
EPIC 220708327,CANDIDATE,1
EPIC 220725183,CANDIDATE,1
EPIC 226042826,CANDIDATE,1
EPIC 228682364,FALSE POSITIVE,1
EPIC 228707509,CANDIDATE,1
EPIC 228720681,CANDIDATE,1
EPIC 228724899,CANDIDATE,1
EPIC 228729473,FALSE POSITIVE,1
EPIC 228734889,CANDIDATE,1
EPIC 228737155,CANDIDATE,1
EPIC 228753871,CANDIDATE,1
EPIC 228758948,CANDIDATE,1
EPIC 228784812,CANDIDATE,1
EPIC 228809391,CANDIDATE,1
EPIC 228814754,CANDIDATE,1
EPIC 228834632,CANDIDATE,1
EPIC 228836835,CONFIRMED,1
EPIC 228846243,CANDIDATE,1
EPIC 228872473,CANDIDATE,1
EPIC 228888935,CANDIDATE,1
EPIC 228952747,CANDIDATE,1
EPIC 228964773,CANDIDATE,1
HIP 61018,CANDIDATE,1
EPIC 229004835,CONFIRMED,1
EPIC 229039390,CANDIDATE,1
EPIC 229103251,CANDIDATE,1
EPIC 229133720,CANDIDATE,1
EPIC 229228348,CANDIDATE,1
EPIC 230517965,CANDIDATE,1
EPIC 236744423,CANDIDATE,1
EPIC 245928102,CANDIDATE,1
EPIC 245944983,CANDIDATE,1
EPIC 246022853,FALSE POSITIVE,1
EPIC 246030759,CANDIDATE,1
EPIC 246042088,CANDIDATE,1
EPIC 246048459,FALSE POSITIVE,1
EPIC 246061904,CANDIDATE,1
EPIC 246067130,CANDIDATE,1
EPIC 246088339,CANDIDATE,1
EPIC 246120353,CANDIDATE,1
EPIC 246163416,FALSE POSITIVE,1
EPIC 246178445,CANDIDATE,1
EPIC 246260670,CANDIDATE,1
EPIC 246261316,CANDIDATE,1
EPIC 246265680,CANDIDATE,1
EPIC 246270904,CANDIDATE,1
EPIC 246290342,CANDIDATE,1
EPIC 246310303,CANDIDATE,1
EPIC 246313886,CANDIDATE,1
EPIC 246317113,CANDIDATE,1
EPIC 246325464,CANDIDATE,1
EPIC 246331347,CANDIDATE,1
EPIC 246331418,CANDIDATE,1
EPIC 246356732,CANDIDATE,1
EPIC 246362870,CANDIDATE,1
EPIC 246366798,CANDIDATE,1
EPIC 246377038,CANDIDATE,1
EPIC 246380972,CANDIDATE,1
EPIC 246405278,CANDIDATE,1
EPIC 246429728,CANDIDATE,1
EPIC 246448041,CANDIDATE,1
EPIC 246711015,CANDIDATE,1
EPIC 246777408,CANDIDATE,1
EPIC 246851148,CANDIDATE,1
EPIC 246851721,CONFIRMED,2
EPIC 246899433,CANDIDATE,1
EPIC 246909566,CANDIDATE,1
EPIC 246920193,CANDIDATE,1
EPIC 246947582,CANDIDATE,1
EPIC 246987084,CANDIDATE,1
EPIC 247047370,CANDIDATE,1
EPIC 247063356,CANDIDATE,1
EPIC 247122439,CANDIDATE,1
EPIC 247164043,CANDIDATE,1
EPIC 247223703,CANDIDATE,1
EPIC 247226616,CANDIDATE,1
EPIC 247281516,CANDIDATE,1
EPIC 247396991,CANDIDATE,1
EPIC 247445728,CANDIDATE,1
EPIC 247560727,CANDIDATE,1
EPIC 247562358,CANDIDATE,1
EPIC 247698108,CANDIDATE,1
EPIC 247708770,CANDIDATE,1
EPIC 247724061,CANDIDATE,1
EPIC 247744801,CANDIDATE,1
EPIC 247856284,CANDIDATE,1
EPIC 247874191,CANDIDATE,1
EPIC 247885088,CANDIDATE,1
EPIC 247988033,CANDIDATE,1
EPIC 248018863,CANDIDATE,1
EPIC 248222323,CANDIDATE,1
EPIC 248420036,CANDIDATE,1
EPIC 248526480,CANDIDATE,1
EPIC 248527709,CANDIDATE,1
EPIC 248574836,CANDIDATE,1
EPIC 248639411,CANDIDATE,1
EPIC 248740016,CANDIDATE,1
EPIC 248740571,CANDIDATE,1
EPIC 248740905,CANDIDATE,1
EPIC 248775938,CANDIDATE,1
EPIC 248782482,CANDIDATE,1
EPIC 248827616,CANDIDATE,1
EPIC 248847494,CONFIRMED,1
EPIC 248865761,CANDIDATE,1
EPIC 248869142,CANDIDATE,1
EPIC 249217834,CANDIDATE,1
EPIC 249236972,CANDIDATE,1
EPIC 249239123,CANDIDATE,1
EPIC 249373875,CANDIDATE,1
EPIC 249391469,CANDIDATE,1
EPIC 249401939,CANDIDATE,1
EPIC 249418609,CANDIDATE,1
EPIC 249476992,CANDIDATE,1
EPIC 249559552,CANDIDATE,1
EPIC 249561595,CANDIDATE,1
EPIC 249599275,CANDIDATE,1
EPIC 249649721,CANDIDATE,1
EPIC 249703125,CANDIDATE,1
EPIC 249731291,CANDIDATE,1
EPIC 249822095,CANDIDATE,1
EPIC 249827330,CANDIDATE,1
EPIC 249828900,CANDIDATE,1
EPIC 249865296,CANDIDATE,1
EPIC 249883770,CANDIDATE,1
EPIC 249893012,CONFIRMED,1
EPIC 249901311,CANDIDATE,1
EPIC 249921188,CANDIDATE,1
EPIC 250001426,CANDIDATE,1
EPIC 250045116,CANDIDATE,1
EPIC 250099723,CANDIDATE,1
EPIC 250106132,CANDIDATE,1
EPIC 251281013,FALSE POSITIVE,1
EPIC 251286992,FALSE POSITIVE,1
EPIC 251288417,CANDIDATE,1
EPIC 251292508,FALSE POSITIVE,1
EPIC 251292838,CANDIDATE,1
EPIC 251294036,CANDIDATE,1
EPIC 251304634,CANDIDATE,1
EPIC 251307609,FALSE POSITIVE,1
EPIC 251308775,FALSE POSITIVE,1
EPIC 251314585,FALSE POSITIVE,1
EPIC 251315031,FALSE POSITIVE,1
EPIC 251327548,FALSE POSITIVE,1
EPIC 251330444,FALSE POSITIVE,1
EPIC 251345848,FALSE POSITIVE,1
EPIC 251345849,FALSE POSITIVE,1
EPIC 251347050,FALSE POSITIVE,1
EPIC 251353301,FALSE POSITIVE,1
EPIC 251356484,FALSE POSITIVE,1
EPIC 251356953,FALSE POSITIVE,1
EPIC 251380988,CANDIDATE,1
EPIC 251383916,FALSE POSITIVE,1
EPIC 251390801,FALSE POSITIVE,1
EPIC 251393748,FALSE POSITIVE,1
EPIC 251393916,FALSE POSITIVE,1
EPIC 251394139,FALSE POSITIVE,1
EPIC 251399501,CANDIDATE,1
EPIC 251404897,FALSE POSITIVE,1
EPIC 251411166,FALSE POSITIVE,1
EPIC 251578729,CANDIDATE,1
EPIC 251584580,CANDIDATE,1
EPIC 251809286,FALSE POSITIVE,1
EPIC 251809628,FALSE POSITIVE,1
G 9-40,CONFIRMED,1
GJ 9827,CONFIRMED,1
HAT-P-54,CONFIRMED,1
HAT-P-56,CONFIRMED,1
HATS-11,CONFIRMED,1
HATS-12,CONFIRMED,1
HATS-36,CONFIRMED,1
HATS-9,CONFIRMED,1
HD 106315,CONFIRMED,1
HD 137496,CONFIRMED,1
HD 3167,CONFIRMED,1
HD 80653,CONFIRMED,1
HD 89345,CONFIRMED,1
HIP 116454,CONFIRMED,2
HIP 41378,CONFIRMED,1
K2-10,CONFIRMED,1
K2-100,CONFIRMED,1
K2-101,CONFIRMED,1
K2-102,CONFIRMED,1
K2-104,CONFIRMED,1
K2-105,CONFIRMED,1
K2-107,CONFIRMED,1
K2-108,CONFIRMED,1
K2-11,CONFIRMED,1
K2-110,CONFIRMED,1
K2-111,CONFIRMED,1
K2-113,CONFIRMED,1
K2-114,CONFIRMED,1
K2-115,CONFIRMED,1
K2-116,CONFIRMED,1
K2-117,CONFIRMED,1
K2-118,CONFIRMED,1
K2-119,CONFIRMED,1
K2-12,CONFIRMED,1
K2-120,CONFIRMED,1
K2-121,CONFIRMED,1
K2-122,CONFIRMED,2
K2-123,CONFIRMED,1
K2-124,CONFIRMED,1
K2-125,CONFIRMED,1
K2-126,CONFIRMED,1
K2-127,CONFIRMED,1
K2-128,CONFIRMED,1
K2-129,CONFIRMED,1
K2-13,CONFIRMED,1
K2-130,CONFIRMED,1
K2-131,CONFIRMED,1
K2-132,CONFIRMED,1
K2-133,CONFIRMED,1
K2-136,CONFIRMED,2
K2-137,CONFIRMED,1
K2-138,CONFIRMED,1
K2-139,CONFIRMED,1
K2-14,CONFIRMED,1
K2-140,CONFIRMED,1
K2-141,CONFIRMED,1
K2-146,CONFIRMED,1
K2-147,CONFIRMED,1
K2-148,CONFIRMED,2
K2-149,CONFIRMED,1
K2-15,CONFIRMED,1
K2-150,CONFIRMED,1
K2-151,CONFIRMED,2
K2-152,CONFIRMED,1
K2-153,CONFIRMED,1
K2-154,CONFIRMED,1
K2-155,CONFIRMED,1
K2-156,CONFIRMED,1
K2-157,CONFIRMED,1
K2-158,CONFIRMED,1
K2-159,CONFIRMED,1
K2-160,CONFIRMED,1
K2-161,CONFIRMED,1
K2-162,CONFIRMED,1
K2-163,CONFIRMED,1
K2-164,CONFIRMED,1
K2-165,CONFIRMED,1
K2-167,CONFIRMED,1
K2-169,CONFIRMED,1
K2-17,CONFIRMED,1
K2-170,CONFIRMED,1
K2-171,CONFIRMED,1
K2-172,CONFIRMED,1
K2-173,CONFIRMED,1
K2-174,CONFIRMED,1
K2-175,CONFIRMED,1
K2-176,CONFIRMED,1
K2-177,CONFIRMED,1
K2-179,CONFIRMED,1
K2-18,CONFIRMED,1
K2-180,CONFIRMED,1
K2-181,CONFIRMED,1
K2-182,CONFIRMED,1
K2-183,CONFIRMED,1
K2-184,CONFIRMED,1
K2-185,CONFIRMED,1
K2-186,CONFIRMED,1
K2-187,CONFIRMED,1
K2-188,CONFIRMED,1
K2-189,CONFIRMED,1
K2-19,CONFIRMED,1
K2-190,CONFIRMED,1
K2-191,CONFIRMED,1
K2-193,CONFIRMED,1
K2-194,CONFIRMED,1
K2-195,CONFIRMED,1
K2-196,CONFIRMED,1
K2-197,CONFIRMED,1
K2-198,CONFIRMED,1
K2-199,CONFIRMED,1
K2-200,CONFIRMED,1
K2-201,CONFIRMED,1
K2-202,CONFIRMED,1
K2-204,CONFIRMED,1
K2-205,CONFIRMED,1
K2-206,CONFIRMED,1
K2-207,CONFIRMED,1
K2-208,CONFIRMED,1
K2-209,CONFIRMED,1
K2-21,CONFIRMED,1
K2-210,CONFIRMED,1
K2-212,CONFIRMED,1
K2-213,CONFIRMED,1
K2-214,CONFIRMED,1
K2-215,CONFIRMED,1
K2-216,CONFIRMED,1
K2-217,CONFIRMED,1
K2-218,CONFIRMED,1
K2-219,CONFIRMED,1
K2-22,CONFIRMED,2
K2-220,CONFIRMED,1
K2-221,CONFIRMED,1
K2-222,CONFIRMED,1
K2-223,CONFIRMED,1
K2-224,CONFIRMED,1
K2-225,CONFIRMED,1
K2-226,CONFIRMED,1
K2-227,CONFIRMED,1
K2-228,CONFIRMED,1
K2-229,CONFIRMED,1
K2-230,CONFIRMED,1
K2-231,CONFIRMED,1
K2-232,CONFIRMED,1
K2-233,CONFIRMED,1
K2-237,CONFIRMED,1
K2-238,CONFIRMED,1
K2-239,CONFIRMED,1
K2-240,CONFIRMED,1
K2-241,CONFIRMED,1
K2-242,CONFIRMED,1
K2-244,CONFIRMED,1
K2-245,CONFIRMED,1
K2-246,CONFIRMED,1
K2-247,CONFIRMED,1
K2-248,CONFIRMED,1
K2-249,CONFIRMED,1
K2-25,CONFIRMED,1
K2-250,CONFIRMED,1
K2-251,CONFIRMED,1
K2-252,CONFIRMED,1
K2-253,CONFIRMED,1
K2-254,CONFIRMED,1
K2-255,CONFIRMED,1
K2-256,CONFIRMED,1
K2-257,CONFIRMED,1
K2-258,CONFIRMED,1
K2-259,CONFIRMED,1
K2-26,CONFIRMED,1
K2-260,CONFIRMED,1
K2-261,CONFIRMED,1
K2-263,CONFIRMED,1
K2-264,CONFIRMED,1
K2-265,CONFIRMED,2
K2-266,CONFIRMED,2
K2-268,CONFIRMED,1
K2-269,CONFIRMED,1
K2-27,CONFIRMED,3
K2-270,CONFIRMED,1
K2-271,CONFIRMED,1
K2-272,CONFIRMED,1
K2-273,CONFIRMED,1
K2-275,CONFIRMED,1
K2-276,CONFIRMED,1
K2-277,CONFIRMED,1
K2-278,CONFIRMED,1
K2-279,CONFIRMED,1
K2-28,CONFIRMED,1
K2-280,CONFIRMED,1
K2-281,CONFIRMED,1
K2-283,CONFIRMED,1
K2-284,CONFIRMED,1
K2-285,CONFIRMED,1
K2-286,CONFIRMED,1
K2-287,CONFIRMED,1
K2-288 B,CONFIRMED,2
K2-289,CONFIRMED,1
K2-29,CONFIRMED,2
K2-290,CONFIRMED,3
K2-291,CONFIRMED,1
K2-292,CONFIRMED,1
K2-293,CONFIRMED,1
K2-294,CONFIRMED,1
K2-295,CONFIRMED,1
K2-3,CONFIRMED,1
K2-30,CONFIRMED,1
K2-308,CONFIRMED,1
K2-31,CONFIRMED,2
K2-315,CONFIRMED,1
K2-316,CONFIRMED,1
K2-317,CONFIRMED,1
K2-318,CONFIRMED,1
K2-32,CONFIRMED,2
K2-320,CONFIRMED,1
K2-321,CONFIRMED,1
K2-322,CONFIRMED,1
K2-323,CONFIRMED,1
K2-324,CONFIRMED,1
K2-325,CONFIRMED,1
K2-326,CONFIRMED,1
K2-329,CONFIRMED,1
K2-33,CONFIRMED,1
K2-330,CONFIRMED,1
K2-331,CONFIRMED,1
K2-332,CONFIRMED,1
K2-333,CONFIRMED,1
K2-334,CONFIRMED,1
K2-335,CONFIRMED,1
K2-336,CONFIRMED,1
K2-337,CONFIRMED,1
K2-338,CONFIRMED,1
K2-34,CONFIRMED,1
K2-340,CONFIRMED,1
K2-341,CONFIRMED,1
K2-342,CONFIRMED,1
K2-343,CONFIRMED,1
K2-344,CONFIRMED,1
K2-345,CONFIRMED,1
K2-346,CONFIRMED,1
K2-347,CONFIRMED,1
K2-348,CONFIRMED,1
K2-349,CONFIRMED,1
K2-35,CONFIRMED,1
K2-350,CONFIRMED,1
K2-351,CONFIRMED,1
K2-352,CONFIRMED,1
K2-354,CONFIRMED,1
K2-355,CONFIRMED,1
K2-357,CONFIRMED,1
K2-36,CONFIRMED,1
K2-366,CONFIRMED,1
K2-367,CONFIRMED,1
K2-369,CONFIRMED,1
K2-37,CONFIRMED,1
K2-370,CONFIRMED,1
K2-371,CONFIRMED,1
K2-372,CONFIRMED,1
K2-373,CONFIRMED,1
K2-374,CONFIRMED,1
K2-375,CONFIRMED,1
K2-376,CONFIRMED,1
K2-377,CONFIRMED,1
K2-378,CONFIRMED,1
K2-38,CONFIRMED,1
K2-380,CONFIRMED,1
K2-381,CONFIRMED,1
K2-382,CONFIRMED,1
K2-383,CONFIRMED,1
K2-384,CONFIRMED,1
K2-385,CONFIRMED,1
K2-386,CONFIRMED,1
K2-387,CONFIRMED,1
K2-388,CONFIRMED,1
K2-389,CONFIRMED,1
K2-39,CONFIRMED,1
K2-390,CONFIRMED,1
K2-391,CONFIRMED,1
K2-392,CONFIRMED,1
K2-393,CONFIRMED,1
K2-394,CONFIRMED,1
K2-395,CONFIRMED,1
K2-396,CONFIRMED,1
K2-397,CONFIRMED,1
K2-398,CONFIRMED,1
K2-399,CONFIRMED,1
K2-4,CONFIRMED,1
K2-400,CONFIRMED,1
K2-401,CONFIRMED,1
K2-402,CONFIRMED,1
K2-403,CONFIRMED,1
K2-404,CONFIRMED,1
K2-405,CONFIRMED,1
K2-406,CONFIRMED,1
K2-407,CONFIRMED,1
K2-408,CONFIRMED,1
K2-409,CONFIRMED,1
K2-411,CONFIRMED,1
K2-412,CONFIRMED,1
K2-413,CONFIRMED,1
K2-414,CONFIRMED,1
K2-415,CONFIRMED,1
K2-416,CONFIRMED,1
K2-417,CONFIRMED,1
K2-42,CONFIRMED,1
K2-43,CONFIRMED,1
K2-44,CONFIRMED,1
K2-45,CONFIRMED,1
K2-46,CONFIRMED,1
K2-47,CONFIRMED,1
K2-48,CONFIRMED,1
K2-49,CONFIRMED,1
K2-5,CONFIRMED,1
